amount,venue,address,city,state,zip,type
7106.40,"TheatreWorks of Central Florida, Inc. - SVOG",8 E Cypress Street ,Davenport,FL,33837,Live performing arts organization operator
53841.30,On Cue Entertainment - SVOG,3450 Fairfax Lane,Davie,FL,33330,Talent representative
23527.80,"YOUR EXQUISITE ENTERTAINMENT, INC. - SVOG",2721 SW 117th Ave ,Davie,FL,33330,Talent representative
58949.97,Cinematique of Daytona Inc. - SVOG,242 S Beach Street ,Daytona Beach,FL,32114,Motion picture theater operator
79046.55,"Daytona Playhouse, Inc - SVOG",100 Jessamine Blvd ,Daytona Beach,FL,32118,Live performing arts organization operator
2151465.75,Frank Theatres Parkside Town Commons LLC - SVOG,2461 W Hillsboro Blvd ,Deerfield Beach,FL,33442,Motion picture theater operator
9678546.00,"JR AFFILIATES, LLC - SVOG",1761 west hillsboro suite 409,Deerfield Beach,FL,33442,Live venue operator or promoter
5467065.00,Paragon Cinemas LLC - SVOG,2461 W Hillsboro Blvd ,Deerfield Beach,FL,33442,Motion picture theater operator
1188836.10,Paragon Coral Springs LLC - SVOG,2461 W Hillsboro Blvd ,Deerfield Beach,FL,33442,Motion picture theater operator
4570398.00,Paragon FEG LLC - SVOG,2461 W Hillsboro Blvd ,Deerfield Beach,FL,33442,Motion picture theater operator
5566823.00,"Paragon Start Media Holdings, LLC - SVOG",2461 W Hillsboro Blvd,Deerfield Beach,FL,33442,Motion picture theater operator
481274.68,Sands Theater Center Inc. - SVOG,124 North Florida Avenue,Deland,FL,32720,Live performing arts organization operator
3217877.35,Wright Entertainment Group LLC - SVOG,1742 S Woodland Blvd #422,Deland,FL,32720,Talent representative
67279.63,Zali Presents LLC - SVOG,1978 Arredondo Grant Rd ,Deleon Springs,FL,32130,Talent representative
8936.55,Amazing Bees Festival Corp - SVOG,9736 Vitrail Lane ,Delray Beach,FL,33446,Live venue operator or promoter
8186912.56,"Cloud 9 Adventures, LLC - SVOG",105 E Atlantic Ave Suite 200,Delray Beach,FL,33444,Live venue operator or promoter
294022.80,CREATIVE CITY COLLABORATIVE OF DELRAY BEACH INC. - SVOG,94 NE 2ND AVE ,Delray Beach,FL,33444,Live venue operator or promoter
